"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Dinickeltrioxid	'1314-06-3	'215-217-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"nickel(II)sulfid	'16812-54-7	'240-841-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Trinickeldisulfid	'12035-72-2	'234-829-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Nickeldihydroxid	'12054-48-7	'235-008-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter	
"Nickelsulfat	'7786-81-4	'232-104-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter	
"Nickelkarbonat	'3333-67-3	'222-068-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter	
"Koppar(I)klorid	'7758-89-6	'231-842-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Kopparnaftenat	'1338-02-9	'215-657-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Kopparsulfat	'7758-98-7	'231-847-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Koppar(II)metansulfonat	'54253-62-2	'405-400-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Zinkklorid	'7646-85-7	'231-592-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Dimetylzink	'544-97-8	'208-884-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Dietylzink	'557-20-0	'209-161-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Zinksulfat	'7733-02-0	'231-793-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"bis(3,5-di-tert-butylsalicylato-O1,O2)zink	'42405-40-3	'403-360-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Fenylarsinoxid	'637-03-6	'211-275-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Oxofenarsinhydroklorid	'538-03-4	'208-682-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"tris[(8S,9R)-Kinin] bis(arsenat)	'549-59-7	'208-971-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Zirkoniumarsenid	'60909-47-9	'262-524-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Sulfarsfenamin	'618-82-6	'210-564-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Slimes and Sludges, copper refining	'67712-00-9	'266-977-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Difenyljodonium-hexafluorarsenat (1-)	'62613-15-4	'263-638-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"3-metyl-4-(pyrrolidin-1-yl)benzendiazonium hexafluorarsenat	'27569-09-1	'248-532-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"4-(dietylamino)-2-etoxibenzendiazoniumhexafluorarsenat	'63217-33-4	'264-027-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Antimony arsenic oxide	'64475-90-7	'264-904-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arsenikbromid	'64973-06-4	'265-296-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Koboltarsenid	'65453-05-6	'265-784-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Tris(acetylacetonato)silicon(IV), hexafluoroarsenate	'67251-38-1	'266-621-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniktriacetat	'5128-94-9	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"4-(etylamino)-2-metylbenzendiazoniumhexafluorarsenat	'63217-32-3	'264-026-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Oxofenarsin	'306-12-7	'206-178-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Aluminiumarsenid	'22831-42-1	'245-255-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Koboltarsenid	'27016-73-5	'248-168-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Nickelarsenid	'27016-75-7	'248-169-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Trikalciumdiarsenit	'27152-57-4	'248-266-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Litiumhexafluorarsenat	'29935-35-1	'249-963-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Silicic acid (H4SiO4), zinc salt (1:2), arsenic and manganese-doped	'68611-46-1	'271-895-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Neoarsfenamin	'457-60-3	'207-273-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trietylarsenit	'3141-12-6	'221-543-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Europiumarsenid	'32775-46-5	'251-206-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Aluminumgalliumarsenid	'37382-15-3	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Tristrontiumdiarsenid	'39297-24-0	'254-407-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trityliumhexafluorarsenat	'437-15-0	'207-111-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Pyrylium, 2,6-dimethyl-4-(1-naphthalenyl)-, hexafluoroarsenate(1-)	'84282-36-0	'282-682-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
" 4-arsenosobenzensulfonsyra	'71130-51-3	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Bis(acetylacetonato)boron, hexafluoroarsenate	'68892-01-3	'272-591-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Antimonoxid (Sb2O3), arsenikoxid (As2O3) mix	'68951-38-2	'273-156-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Silicic acid, tetraethyl ester, polymer with arsenic oxide (As2O3)	'68957-75-5	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Lead, antimonial, dross	'69029-51-2	'273-795-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arsenikpentafluorid	'7784-36-3	'232-061-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Natrium-4-arsenosobenzensulfonat	'71130-50-2	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trisilverarsenit	'7784-08-9	'232-048-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniktribromid	'7784-33-0	'232-057-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Disilverarsenid	'70333-07-2	'274-573-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trinatriumarsenid	'12044-25-6	'234-952-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Dikromarsenid	'12254-85-2	'235-499-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Tuliumarsenid	'12006-10-9	'234-482-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Ytterbiumarsenid	'12006-12-1	'234-483-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Järndiarsenid	'12006-21-2	'234-485-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trizinkdiarsenid	'12006-40-5	'234-486-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Terbiumarsenid	'12006-08-5	'234-479-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trikaliumarsenid	'12044-21-2	'234-949-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Dimanganarsenid	'12005-96-8	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Praseodymarsenid	'12044-28-9	'234-953-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Koboltdiarsenid	'12044-42-7	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trimagnesiumdiarsenid	'12044-49-4	'234-954-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"diarseniktritellurid	'12044-54-1	'234-955-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Zinkdiarsenid	'12044-55-2	'234-956-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Nickeldiarsenid	'12068-61-0	'235-103-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Järnarsenid	'12044-16-5	'234-947-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trikoppararsenid	'12005-75-3	'234-472-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Vätehexafluorarsenat	'17068-85-8	'241-128-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Slimes and Sludges, copper electrolytic refining, decopperized, arsenic-rich	'100995-81-1	'309-772-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Metaarseniksyra	'10102-53-1	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Talliumarsenid	'12006-09-6	'234-481-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Kopparacetoarsenit	'12002-03-8	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trilitiumarsenid	'12044-22-3	'234-950-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Dysprosiumarsenid	'12005-81-1	'234-473-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"dijärnarsenid	'12005-88-8	'234-474-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Gadoliniumarsenid	'12005-89-9	'234-475-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Holmiumarsenid	'12005-92-4	'234-476-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Lutetiumarsenid	'12005-94-6	'234-477-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Manganarsenide	'12005-95-7	'234-478-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Digalliumarsenidfosfid	'12044-20-1	'234-948-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Indiumarsenid	'1303-11-3	'215-115-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arsenikpyrit	'1303-18-0	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniktrisulfid	'1303-33-9	'215-117-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arsenikselenid	'1303-36-2	'215-119-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Galliumarsenid	'1303-00-0	'215-114-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Trinatriumarsenit	'13464-37-4	'236-681-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Kaliumarsenit	'13464-35-2	'236-680-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arsfenamin	'139-93-5	'205-386-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Natriummetaarsenat	'15120-17-9	'239-171-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Koppardiarsenit	'16509-22-1	'240-574-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Kaliumhexafluorarsenat	'17029-22-0	'241-102-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Erbiumarsenid	'12254-88-5	'235-501-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Kobolttriarsenid	'12256-04-1	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Niobarsenid	'12255-08-2	'235-503-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Neodymarsenid	'12255-09-3	'235-504-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Triantimonarsenid	'12255-36-6	'235-505-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Samariumarsenid	'12255-39-9	'235-506-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Yttriumarsenid	'12255-48-0	'235-507-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Tribariumdiarsenid	'12255-50-4	'235-508-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Germanium-arseniklegering	'12719-61-8	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trikalciumdiarsenid	'12255-53-7	'235-509-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Lead, dross, vanadium-zinc-contg.	'100656-49-3	'309-638-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Flue dust, copper-lead blast furnace, cadmium-indium-enriched	'100656-55-1	'309-645-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Cd	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter			
"Blydinitrat	'10099-74-8	'233-245-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Matte, copper-lead, tellurium-contg.	'100656-53-9	'309-642-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydivanadinhexaoxid	'10099-79-3	'233-248-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Kalciumsilikat, bly-och mangandopad	'102110-36-1	'310-036-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyisooktanoatneodekanoat komplex	'101013-06-3	'309-808-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydijodid	'10101-63-0	'233-256-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blymolybdat	'10190-55-3	'233-459-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Phosphoric acid, calcium salt (1:1), solid soln. with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, lead and manganese-doped	'102047-25-6	'310-002-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Barium oxide (BaO), solid soln. with calcium oxide, strontium oxide and tungsten oxide (WO3), lead-doped	'102110-24-7	'310-023-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Boric acid (H3BO3), solid soln. with barium oxide, calcium oxide and strontium oxide, lead and manganese-doped	'102110-26-9	'310-025-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(II)silikat	'10099-76-0	'233-246-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C3-13)-karboxylatnaftenat komplex	'79803-79-5	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blysulfit	'7446-10-8	'231-196-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C5-23)-grenade karboxylatnaftenatoktanoat komplex	'83711-47-1	'280-544-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C5-23)-grenade karboxylatnaftenat komplex	'83711-46-0	'280-542-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C5-23)-grenade karboxylat-(C4-10)-karboxylatnaftenat komplex	'83711-45-9	'280-541-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydibutyrat	'819-73-8	'212-462-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blymalat	'816-68-2	'212-436-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blytartrat	'815-84-9	'212-426-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyoxalat	'814-93-7	'212-413-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydipropionat	'814-70-0	'212-400-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Di(2-metoxietyl)ftalat	'117-82-8	'204-212-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"						
"Kadmiumselenid	'1306-24-7	'215-148-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Cd"	 Miljöfarligt, långtidseffekter					
"Nickel(II)selenit	'10101-96-9	'233-263-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Dikopparselenid	'20405-64-5	'243-796-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Nickelselenid	'1314-05-2	'215-216-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Zinkselenid	'1315-09-9	'215-259-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Nickelselenat	'15060-62-5	'239-125-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter	
"zinkselenat	'13597-54-1	'237-051-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Silvernitrat	'7761-88-8	'231-853-9	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Dinatriumtetracyanokadmat	'15682-87-8	'239-765-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Cd"	 Miljöfarligt, långtidseffekter					
"dikalium [[N,N'-etylenbis[N-(karboximetyl)glycinat]](4-)-N,N',O,O',ON,ON']kadmat(2-)	'15708-29-9	'239-801-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Cd"	 Miljöfarligt, långtidseffekter					
"Kadmiumakrylat	'15743-19-8	'239-835-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Cd"	 Miljöfarligt, långtidseffekter					
